OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiales Incertae Sedis,D_5__Bauldia",1,1,1,1
"D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Gemmatales,D_4__Gemmataceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Terrimonas",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Solirubrobacterales,D_4__Solirubrobacteraceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Rhizobacter",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__KF-JG30-B3,__",1,1,1,1
"D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Tepidisphaerales,D_4__WD2101 soil group,__",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__uncultured,D_5__uncultured Acidobacteriaceae bacterium",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Micropepsales,D_4__Micropepsaceae,D_5__Micropepsis",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Subgroup 2,D_4__uncultured Acidobacteriaceae bacterium,D_5__uncultured Acidobacteriaceae bacterium",0,0,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Ilumatobacteraceae,D_5__CL500-29 marine group",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Bdellovibrionales,D_4__Bdellovibrionaceae,D_5__Bdellovibrio",1,1,1,1
"D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__uncultured bacterium",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Patescibacteria,D_2__Saccharimonadia,D_3__Saccharimonadales,D_4__uncultured bacterium,D_5__uncultured bacterium",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__Rhodoplanes",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Elsterales,D_4__uncultured,D_5__uncultured bacterium",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Subgroup 2,D_4__uncultured Holophaga sp.,D_5__uncultured Holophaga sp.",1,1,1,1
"D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Phycisphaerales,D_4__Phycisphaeraceae,D_5__SM1A02",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Xanthomonadales,D_4__Xanthomonadaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__uncultured Parcubacteria group bacterium,D_4__uncultured Parcubacteria group bacterium,D_5__uncultured Parcubacteria group bacterium",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micrococcales,D_4__Microbacteriaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Armatimonadetes,D_2__Fimbriimonadia,D_3__Fimbriimonadales,D_4__Fimbriimonadaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Micropepsales,D_4__Micropepsaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Dongiales,D_4__Dongiaceae,D_5__Dongia",1,1,1,1
"D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Pirellulales,D_4__Pirellulaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Parafilimonas",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__BIrii41,D_5__metagenome",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,Ambiguous_taxa,Ambiguous_taxa",1,1,1,1
"D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__Candidatus Adlerbacteria,D_4__uncultured bacterium,D_5__uncultured bacterium",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Xanthomonadales,D_4__Rhodanobacteraceae,D_5__Dokdonella",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Sandaracinaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Frankiales,D_4__Frankiaceae,D_5__Jatrophihabitans",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales,D_4__Hyphomonadaceae,D_5__SWB02",1,1,1,1
"D_0__Bacteria,D_1__Chlamydiae,D_2__Chlamydiae,D_3__Chlamydiales,D_4__Simkaniaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Chloroflexi,D_2__AD3,D_3__uncultured bacterium,D_4__uncultured bacterium,D_5__uncultured bacterium",0,1,1,1
"D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Xiphinematobacteraceae,D_5__Candidatus Xiphinematobacter",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),D_5__Acidicapsa",1,1,1,1
"D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__Pedosphaera",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Pseudonocardiales,D_4__Pseudonocardiaceae,D_5__Pseudonocardia",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Solirubrobacterales,D_4__67-14,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__uncultured,D_4__uncultured forest soil bacterium,D_5__uncultured forest soil bacterium",1,1,1,1
"D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rickettsiales,D_4__SM2D12,D_5__metagenome",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Diplorickettsiales,D_4__Diplorickettsiaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Planctomycetes,D_2__vadinHA49,D_3__metagenome,D_4__metagenome,D_5__metagenome",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__uncultured,__,__",1,1,1,1
"D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__ADurb.Bin063-1",1,1,1,1
"D_0__Bacteria,D_1__Chlamydiae,D_2__Chlamydiae,D_3__Chlamydiales,D_4__Simkaniaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__TRA3-20,D_5__metagenome",1,1,1,1
"D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__bacterium Ellin516",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Mesorhizobium",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,__,__",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,__,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__SC-I-84,__",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__env.OPS 17,__",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Sediminibacterium",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__Holophaga",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium",1,1,1,1
"D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__Candidatus Kaiserbacteria,__,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__uncultured,D_4__bacterium Ellin6089,D_5__bacterium Ellin6089",1,1,1,1
"D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,D_5__Gemmatirosa",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,D_5__metagenome",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Pseudonocardiales,D_4__Pseudonocardiaceae,D_5__Crossiella",0,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__KF-JG30-B3,D_5__metagenome",1,1,1,1
"D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__Candidatus Jorgensenbacteria,D_4__Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9,D_5__Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__JG36-TzT-191,D_4__uncultured bacterium,D_5__uncultured bacterium",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__A21b,D_5__uncultured bacterium",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,Ambiguous_taxa,Ambiguous_taxa",0,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodospirillales,D_4__uncultured,D_5__uncultured proteobacterium",0,1,0,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Propionibacteriales,D_4__Nocardioidaceae,D_5__Nocardioides",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales,D_4__Caulobacteraceae,D_5__Asticcacaulis",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Diplorickettsiales,D_4__Diplorickettsiaceae,D_5__Aquicella",1,1,1,1
"D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Tepidisphaerales,D_4__WD2101 soil group,D_5__uncultured Planctomycetales bacterium",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,D_4__Iamiaceae,D_5__Iamia",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Nitrosomonadaceae,D_5__MND1",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__TRA3-20,__",1,1,0,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__BIrii41,Ambiguous_taxa",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Xanthomonadales,D_4__Rhodanobacteraceae,D_5__Mizugakiibacter",0,0,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__OPB56,D_4__uncultured bacterium KF-JG30-B11,D_5__uncultured bacterium KF-JG30-B11",1,1,1,1
"D_0__Bacteria,__,__,__,__,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Azospirillales,D_4__Inquilinaceae,D_5__Inquilinus",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Novosphingobium",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Frankiales,__,__",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__CWT CU03-E12,__",0,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Nitrosomonadaceae,D_5__IS-44",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodospirillales,D_4__Rhodospirillaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__SC-I-84,D_5__uncultured soil bacterium",0,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Beijerinckiaceae,__",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__uncultured,D_5__bacterium Ellin7529",0,1,0,1
"D_0__Bacteria,D_1__Elusimicrobia,D_2__Lineage IIa,__,__,__",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__uncultured,D_5__uncultured Holophaga sp.",0,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Microtrichales,__,__",1,1,1,1
"D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__Candidatus Adlerbacteria,D_4__metagenome,D_5__metagenome",0,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Frankiales,D_4__Nakamurellaceae,D_5__Nakamurella",1,1,1,1
"D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 5,__,__,__",0,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Labraceae,D_5__Labrys",1,1,1,1
"D_0__Bacteria,D_1__Chloroflexi,D_2__KD4-96,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__uncultured,D_5__uncultured Hyphomicrobiaceae bacterium",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__KF-JG30-C25,D_4__uncultured gamma proteobacterium,D_5__uncultured gamma proteobacterium",0,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__UTBCD1",0,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Limnobacter",1,1,1,1
"D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Methylacidiphilales,D_4__Methylacidiphilaceae,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodospirillales,D_4__uncultured,__",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiales Incertae Sedis,D_5__uncultured",1,1,1,1
"D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales,D_4__Hyphomonadaceae,D_5__Hirschia",1,1,1,1
"D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Kineosporiales,D_4__Kineosporiaceae,D_5__Kineosporia",1,1,1,1
"D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__OPB56,D_4__uncultured bacterium,D_5__uncultured bacterium",1,1,1,1
